date,campaign,channel,category,region,customer_segment,device,impressions,clicks,conversions,new_customers,returning_customers,cost,revenue,ctr,conversion_rate,cpc,roas,profit
2026-05-01,Summer Sale,Facebook,Retail,North,Small Business,Tablet,26031,1336,142,105,37,4856.84,87303.07,5.13,10.63,3.64,17.98,82446.23
2026-05-01,Search Growth,Google Ads,E-commerce,South,Small Business,Desktop,97314,7022,261,188,73,3863.5,286812.0,7.22,3.72,0.55,74.24,282948.5
2026-05-01,Creator Campaign,Instagram,Retail,East,Small Business,Mobile,42921,2214,103,70,33,3193.91,57853.06,5.16,4.65,1.44,18.11,54659.15
2026-05-01,B2B Lead Generation,LinkedIn,B2B,West,Small Business,Mobile,49899,3517,206,136,70,4287.48,414670.16,7.05,5.86,1.22,96.72,410382.68
2026-05-01,Festive Offers,Google Ads,E-commerce,North,Returning Customers,Desktop,48635,1343,53,39,14,4575.43,92926.69,2.76,3.95,3.41,20.31,88351.26
2026-05-01,Brand Awareness,Facebook,Retail,West,Returning Customers,Mobile,35492,1676,116,62,54,1448.52,78574.07,4.72,6.92,0.86,54.24,77125.55
2026-05-01,Product Launch,Instagram,Technology,South,High Value,Desktop,63070,3231,336,229,107,4467.4,334871.59,5.12,10.4,1.38,74.96,330404.19
2026-05-01,Enterprise Outreach,LinkedIn,B2B,East,Small Business,Mobile,56517,2726,142,61,81,2981.98,98628.49,4.82,5.21,1.09,33.07,95646.51
2026-05-02,Summer Sale,Facebook,Retail,North,Small Business,Mobile,89715,5821,535,308,227,5337.0,670409.89,6.49,9.19,0.92,125.62,665072.89
2026-05-02,Search Growth,Google Ads,E-commerce,South,High Value,Desktop,34403,1096,96,62,34,3997.7,138159.67,3.19,8.76,3.65,34.56,134161.97
2026-05-02,Creator Campaign,Instagram,Retail,East,High Value,Mobile,54531,3192,171,74,97,805.53,207637.68,5.85,5.36,0.25,257.77,206832.15
2026-05-02,B2B Lead Generation,LinkedIn,B2B,West,Returning Customers,Desktop,36511,2782,131,61,70,783.88,123457.26,7.62,4.71,0.28,157.5,122673.38
2026-05-02,Festive Offers,Google Ads,E-commerce,North,High Value,Desktop,28141,2027,178,74,104,3048.26,333667.35,7.2,8.78,1.5,109.46,330619.09
2026-05-02,Brand Awareness,Facebook,Retail,West,Small Business,Mobile,15032,457,42,23,19,2625.31,30753.48,3.04,9.19,5.74,11.71,28128.17
2026-05-02,Product Launch,Instagram,Technology,South,High Value,Tablet,57528,2978,182,90,92,2361.98,282645.01,5.18,6.11,0.79,119.66,280283.03
2026-05-02,Enterprise Outreach,LinkedIn,B2B,East,Small Business,Tablet,16179,519,60,27,33,3795.89,100469.25,3.21,11.56,7.31,26.47,96673.36
2026-05-03,Summer Sale,Facebook,Retail,North,Small Business,Mobile,41716,2837,192,136,56,2408.11,118787.36,6.8,6.77,0.85,49.33,116379.25
2026-05-03,Search Growth,Google Ads,E-commerce,South,New Customers,Tablet,66397,2466,133,92,41,4698.34,100993.87,3.71,5.39,1.91,21.5,96295.53
2026-05-03,Creator Campaign,Instagram,Retail,East,High Value,Tablet,49359,2513,212,81,131,3328.49,336493.09,5.09,8.44,1.32,101.09,333164.6
2026-05-03,B2B Lead Generation,LinkedIn,B2B,West,New Customers,Desktop,36948,1015,73,28,45,1826.67,51312.97,2.75,7.19,1.8,28.09,49486.3
2026-05-03,Festive Offers,Google Ads,E-commerce,North,New Customers,Mobile,85687,6898,553,198,355,2719.72,820708.47,8.05,8.02,0.39,301.76,817988.75
2026-05-03,Brand Awareness,Facebook,Retail,West,Returning Customers,Tablet,78201,4218,419,228,191,987.39,545392.22,5.39,9.93,0.23,552.36,544404.83
2026-05-03,Product Launch,Instagram,Technology,South,High Value,Mobile,29783,1590,80,42,38,2520.68,108894.14,5.34,5.03,1.59,43.2,106373.46
2026-05-03,Enterprise Outreach,LinkedIn,B2B,East,High Value,Tablet,12465,929,102,40,62,1029.9,144795.45,7.45,10.98,1.11,140.59,143765.55
2026-05-04,Summer Sale,Facebook,Retail,North,Returning Customers,Tablet,28698,1852,174,124,50,5267.41,111107.12,6.45,9.4,2.84,21.09,105839.71
2026-05-04,Search Growth,Google Ads,E-commerce,South,Small Business,Mobile,43559,1186,92,61,31,3348.58,174996.15,2.72,7.76,2.82,52.26,171647.57
2026-05-04,Creator Campaign,Instagram,Retail,East,Small Business,Desktop,28694,1218,90,37,53,1832.2,187926.86,4.24,7.39,1.5,102.57,186094.66
2026-05-04,B2B Lead Generation,LinkedIn,B2B,West,New Customers,Tablet,14694,750,89,62,27,3984.04,156645.7,5.1,11.87,5.31,39.32,152661.66
2026-05-04,Festive Offers,Google Ads,E-commerce,North,High Value,Tablet,27252,1197,117,45,72,4457.37,129156.42,4.39,9.77,3.72,28.98,124699.05
2026-05-04,Brand Awareness,Facebook,Retail,West,Small Business,Mobile,63908,2604,296,202,94,1670.99,196788.61,4.07,11.37,0.64,117.77,195117.62
2026-05-04,Product Launch,Instagram,Technology,South,New Customers,Mobile,78105,4761,514,339,175,1807.18,510436.14,6.1,10.8,0.38,282.45,508628.96
2026-05-04,Enterprise Outreach,LinkedIn,B2B,East,New Customers,Tablet,65914,3628,140,56,84,575.17,119265.73,5.5,3.86,0.16,207.36,118690.56
2026-05-05,Summer Sale,Facebook,Retail,North,New Customers,Mobile,105237,5828,530,355,175,4187.23,423791.92,5.54,9.09,0.72,101.21,419604.69
2026-05-05,Search Growth,Google Ads,E-commerce,South,Small Business,Mobile,92684,6426,240,122,118,1746.92,497576.27,6.93,3.73,0.27,284.83,495829.35
2026-05-05,Creator Campaign,Instagram,Retail,East,Returning Customers,Desktop,23670,1533,177,63,114,1971.19,366109.41,6.48,11.55,1.29,185.73,364138.22
2026-05-05,B2B Lead Generation,LinkedIn,B2B,West,New Customers,Desktop,45311,2856,100,73,27,1098.9,118345.01,6.3,3.5,0.38,107.69,117246.11
2026-05-05,Festive Offers,Google Ads,E-commerce,North,Small Business,Mobile,32901,2410,167,65,102,5136.89,80362.8,7.33,6.93,2.13,15.64,75225.91
2026-05-05,Brand Awareness,Facebook,Retail,West,Small Business,Desktop,69486,5059,238,165,73,2922.92,359505.59,7.28,4.7,0.58,123.0,356582.67
